source,target,weight
extrovert,actor,3
extrovert,addictions professional,1
extrovert,administrative services manager,2
extrovert,administrative specialist,1
extrovert,advertising manager,1
extrovert,advisor,1
extrovert,agent,2
extrovert,architect,1
extrovert,arts administrator,1
extrovert,attorney,1
extrovert,bartender,1
extrovert,beautician,1
extrovert,broadcaster,1
extrovert,business,1
extrovert,business consultant,1
extrovert,business management,2
extrovert,call center operator,1
extrovert,car dealer,1
extrovert,career counselor,1
extrovert,ccommodity trader,1
extrovert,chief executive officer,1
extrovert,clinical psychologist,1
extrovert,coach,1
extrovert,college professor,1
extrovert,community health professional,1
extrovert,community outreach coordinator,1
extrovert,computer systems analyst,1
extrovert,computer systems manager,1
extrovert,construction manager,4
extrovert,consultant,1
extrovert,consulting,1
extrovert,content strategist,1
extrovert,corporate trainer,1
extrovert,cosmetologist,1
extrovert,counseling psychologist,1
extrovert,counselor,3
extrovert,creative director,1
extrovert,criminal investigator,1
extrovert,customer service representative,5
extrovert,customer service specialist,1
extrovert,customer success manager,1
extrovert,dental hygienist,3
extrovert,dentist,2
extrovert,digital marketing specialist,1
extrovert,education,2
extrovert,entertainment,1
extrovert,entrepreneur,3
extrovert,event coordinator,2
extrovert,event planner,9
extrovert,event planning,1
extrovert,executive coach,1
extrovert,fashion designer,1
extrovert,financial advisor,4
extrovert,financial manager,1
extrovert,financial trader,1
extrovert,fitness instructor,3
extrovert,flight attendant,7
extrovert,franchise-owner,1
extrovert,fundraising manager,1
extrovert,general manager,1
extrovert,genetic counselor,1
extrovert,hair stylist,1
extrovert,hairstyler,1
extrovert,hairstylist,2
extrovert,health care worker,1
extrovert,health service manager,1
extrovert,healthcare,1
extrovert,help desk technician,1
extrovert,hospitality,1
extrovert,hospitality manager,3
extrovert,hotel manager,1
extrovert,hr manager,1
extrovert,human resource manager,6
extrovert,human resources,2
extrovert,human resources advisor,1
extrovert,human resources officer,1
extrovert,industrial engineer,1
extrovert,industrial-organizational psychologists,1
extrovert,insurance sales agent,1
extrovert,journalist,3
extrovert,judge,1
extrovert,k-12 teacher,1
extrovert,law,1
extrovert,lawyer,10
extrovert,librarian,1
extrovert,life coach,2
extrovert,literary agent,1
extrovert,lobbyist,1
extrovert,management consultant,1
extrovert,manager,1
extrovert,marketing,1
extrovert,marketing manager,7
extrovert,marriage and family therapists,1
extrovert,mechanical engineer,1
extrovert,media,1
extrovert,mediator,3
extrovert,medical and health services manager,2
extrovert,medical assistant,1
extrovert,medical manager,1
extrovert,medical office assistant,1
extrovert,medication care coordinator,1
extrovert,natural sciences manager,2
extrovert,nonprofit director,1
extrovert,nurse,3
extrovert,nurse practitioner,4
extrovert,occupational therapist,2
extrovert,occupational therapy assistant,1
extrovert,operations manager,1
extrovert,orthodontist,1
extrovert,patient care technician,1
extrovert,performer,4
extrovert,personal financial advisor,1
extrovert,pharmaceutical sales rep,1
extrovert,pharmacy assistant,1
extrovert,physical therapist,3
extrovert,physical therapists assistant,1
extrovert,physical therapy aide,1
extrovert,physician assistant,3
extrovert,pilot,1
extrovert,police officer,1
extrovert,political consultant,1
extrovert,politician,3
extrovert,postsecondary health specialties teacher,1
extrovert,postsecondary nursing instructor,1
extrovert,pr manager,1
extrovert,producers and directors,1
extrovert,product manager,3
extrovert,professor,1
extrovert,project manager,1
extrovert,psychiatrist,1
extrovert,psychologist,2
extrovert,public relations,2
extrovert,public relations manager,3
extrovert,public relations officer,2
